,title,publish_date,source_country,sentiment,cleaned_text,sentiment_label,word_length,char_length,month
1,Ministers Harris and Ryan welcome record number of enrolments in retrofitting programmes for 2022 - MerrionStreet,2023-01-17 21:41:06,ie,0.341,minister harris ryan welcome record number enrolment retrofitting programme 2022 merrionstreet,positive,16,113,January 2023
2,New €4.8m state-of-the-art facility planned for UCD Lyons Farm,2022-12-05 11:06:50,ie,0.377,new 4.8m state-of-the-art facility planned ucd lyon farm,positive,9,62,December 2022
3,‘Not possible’ to make Northern Ireland Protocol work - EU law expert,2023-02-01 20:45:45,ie,-0.146,possible make northern ireland protocol work eu law expert,negative,12,69,February 2023
4,"Shoppers must demand longer lasting goods and less packaging, says Fine Gael waste policy paper",2023-01-10 16:14:04,ie,-0.077,shopper must demand longer lasting good le packaging say fine gael waste policy paper,negative,15,95,January 2023
5,Opportunity knocks for investors willing to make long-term calls on commercial real estate,2022-12-06 07:00:00,ie,-0.137,opportunity knock investor willing make long-term call commercial real estate,negative,13,90,December 2022
6,German state governor under pressure over Nord Stream 2 revelations,2023-03-01 21:37:51,ie,-0.216,german state governor pressure nord stream 2 revelation,negative,10,67,March 2023
7,Ireland ranks joint lowest of 13 countries on readiness to transition to renewable energy ,2022-12-05 16:11:49,ie,0.381,ireland rank joint lowest 13 country readiness transition renewable energy,positive,14,90,December 2022
8,€1.25bn invested in Dublin’s private rented sector in first three quarters of 2022,2022-11-16 07:00:00,ie,-0.085,1.25bn invested dublin private rented sector first three quarter 2022,negative,13,82,November 2022
9,Tommy Barker: Cork properties hit post-boom record highs despite jittery market,2022-11-05 08:05:00,ie,0.055,tommy barker cork property hit post-boom record high despite jittery market,positive,11,79,November 2022
10,2022 saw lowest number of work-related fatalities in 30 years,2022-12-30 07:15:43,ie,0.128,2022 saw lowest number work-related fatality 30 year,positive,10,61,December 2022
11,Coalition defends €1bn underspend on housing,2023-03-19 13:32:53,ie,-0.213,coalition defends 1bn underspend housing,negative,6,44,March 2023
14,Annual Update of Housing for All  - MerrionStreet,2022-11-02 13:24:54,ie,-0.043,annual update housing merrionstreet,negative,8,49,November 2022
15,Donegal pair behind leading 3D housing development for homeless in UK,2022-11-21 14:39:24,ie,0.296,donegal pair behind leading 3d housing development homeless uk,positive,11,69,November 2022
17,Engineering consultancy EDC opens new Galway office,2023-01-09 12:36:50,ie,0.365,engineering consultancy edc open new galway office,positive,7,51,January 2023
18,Emissions of seven facilities in Ireland equal to 70% of dairy cows,2022-11-16 13:15:07,ie,0.188,emission seven facility ireland equal 70 dairy cow,positive,12,67,November 2022
19,The State is in a good position to fund more investment,2022-12-23 06:00:29,ie,0.014,state good position fund investment,positive,11,55,December 2022
20,Housing targets: Varadkar’s deviation from formal State goal reminds of vast task involved in controlling crisis,2023-03-11 06:00:00,ie,-0.32,housing target varadkar deviation formal state goal reminds vast task involved controlling crisis,negative,16,112,March 2023
