id,title,publish_date,source_country,sentiment
73732360,Biogas firm to hold consultation on £50 million anaerobic digestion plants in Moray creating 30 jobs,2022-11-28 14:19:32,GB,0.087
93801960,Scots Biotechnology network’s investment hits £25 million,2023-02-06 15:54:43,GB,0.251
70080002,Council chases owners of thousands of empty homes in Glasgow,2022-11-17 09:36:50,GB,-0.111
68758894,The west’s ‘dash for gas’ in Africa is nothing more than energy colonialism,2022-11-13 07:00:04,GB,-0.018
70141242,"Mr Heaton-Harris was interested in how MJM Marine, Mivan and Topglass have recovered from the pandemic",2022-11-17 14:26:52,GB,0.275
89650516,Fury over China &amp; UAE multi-million offshore wind profits in Scotland,2023-01-22 07:54:00,GB,-0.527
69416624,Sales up in all sectors for industry supplier,2022-11-15 08:00:00,GB,0.007
67549950,Council ‘apologises unreservedly for ways in which it failed Grenfell residents’,2022-11-09 16:36:29,GB,-0.396
83224602,Growing demand for data from space will fuel north rocket launches,2022-12-30 12:45:23,GB,0.241
89671000,"‘It’s not medical tourism, it’s desperation’: rising number of Britons resort to treatment abroad",2023-01-21 20:00:56,GB,-0.634
74392022,Jobs boost as Montrose facility targeting green energy sector opens for business,2022-11-30 13:08:36,GB,0.509
100446162,Offshore wind trio back Highland renewables skills hub ,2023-03-02 18:11:42,gb,0.127
102327798,Gary Lineker spoke his mind. Now we should too: fate could have put any one of us in those migrant boats,2023-03-10 18:16:04,gb,-0.367
85069086,Northern Ireland facing continued recession in 2023,2023-01-05 14:09:17,GB,-0.008
87248180,"‘Wild West’ social media bosses must face jail for harmful content, says rebel Tory MP",2023-01-13 11:18:55,GB,-0.294
91142650,Exxon scientists accurately forecast climate change back in the 1970s – what if we had listened to them and acted then?,2023-01-27 17:52:16,GB,-0.242
90534382,2000-tonne 'monopiles' set to arrive in Highland town after major deal struck,2023-01-25 13:31:00,GB,0.176
84638266,New TUC boss calls for urgent meeting with Prime Minister,2023-01-03 23:30:00,GB,-0.183
70191370,Dons chairman says councillors are &#8216;missing the point&#8217; as SNP divided over &#8216;cost of inaction&#8217; on new stadium,2022-11-17 18:00:09,GB,-0.485
76361260,Syria to close govt agencies for 2 days amid fuel crisis,2022-12-06 17:19:40,GB,-0.011
87370820,Teaching union announces 22 more days of strike action in Scotland,2023-01-13 20:53:05,GB,-0.013
89225930,Scotland rent cap: Landlords in legal challenge over freeze,2023-01-20 16:07:11,GB,-0.528
66840850,Cost increases and uncertainty weighing heavily on NI construction workloads,2022-11-07 13:10:42,GB,0.005
77535562,Nurses’ union leader accuses Steve Barclay of ‘bullyboy’ tactics,2022-12-09 19:22:54,GB,-0.229
100366564,David Parfitt takes over as chairman of North East  Screen,2023-03-02 11:53:50,GB,0.354
105389246,Skills training will future-proof young Londoners,2023-03-22 12:26:19,gb,0.298
105528360,Kate Forbes vows to scrap SNP government&#8217;s proposals for fishing bans,2023-03-23 01:01:00,gb,-0.035
71090176,Man could be living on the Moon by end of decade – Nasa official,2022-11-20 12:15:19,GB,0.211
107710594,"Average Wall Street bonuses plummeted in 2022 to $176,700",2023-03-30 17:29:08,gb,-0.222
92523900,"Civil servants, bus and rail staff, lecturers and teachers strike",2023-02-02 01:01:00,GB,-0.409
99807834,How Sunak hopes the ‘Windsor Framework’ will end Brexit divides,2023-02-28 12:08:31,GB,-0.002
78836926,Sandy Begbie: Growth in a Time of Crisis,2022-12-14 11:10:35,GB,0.265
65823332,"Construction activity continues to pick up, but outlook remains grim",2022-11-04 12:21:54,GB,-0.377
82808170,"Exclusive: Birthday boy Roy MacGregor on new opportunities, green freeports and Global Energy Group&#8217;s latest results",2022-12-29 07:00:00,GB,0.213
77287238,Conservation fund will build future for historic Argyll property,2022-12-09 14:04:26,GB,0.267
80908544,Israel's Netanyahu says he has formed new government,2022-12-21 23:46:32,GB,0.048
101989492,Historic ceremony sees leading institutions reaffirm their loyalty to King,2023-03-09 16:21:05,gb,0.222
92442018,The Leader podcast: London gripped by decade’s biggest strikes,2023-02-01 18:04:51,GB,0.337
71436884,Virgin Atlantic boss withdraws support for Heathrow third runway and slams airport’s ‘monopoly position’,2022-11-21 15:39:18,GB,-0.191
107990618,Lula and the world: what to expect from the new Brazilian foreign policy,2023-03-31 16:56:58,gb,0.352
95773794,Highland businesses fear proposals for new limits on alcohol adverts,2023-02-13 18:00:00,GB,-0.026
92045818,"Covid support measures 'saved 40,000 jobs'",2023-01-31 07:11:47,GB,-0.265
64793762,Find your dream team at Lisburn and Castlereagh City Council's upcoming job fair,2022-11-01 13:31:48,GB,0.668
90179636,Struan Stevenson: It&#8217;s time to realise the worth of Scotland&#8217;s seaweed gold mine,2023-01-24 07:00:08,GB,0.021
73336304,"GALLERY: Glashieburn School &#8211; big stage shows, litter picking and a TV appearance",2022-11-27 07:00:25,GB,0.335
107065326,Gove invites Kingspan for talks on post-Grenfell remediation package,2023-03-28 16:26:41,gb,-0.48
102017266,Kevin McKenna: What really goes on behind scenes of SNP hustings?,2023-03-09 18:57:04,gb,0.119
99878426,Looking for an apprenticeship? Here are 4 great opportunities!,2023-02-28 17:27:09,GB,0.657
92141966,Business insolvencies jump by 57% to 13-year high,2023-01-31 16:13:03,GB,-0.108
65151750,Rival swoops to acquire historic Dundee property firm,2022-11-02 13:37:13,GB,0.383
87953714,Can humanity's new giant leap into space succeed?,2023-01-16 03:56:05,GB,-0.422
101487670,Construction and car sales drive UK business recovery,2023-03-07 07:10:30,gb,-0.064
73558224,"Ireland’s productivity 40% higher than Northern Ireland’s, says think tank",2022-11-28 01:01:00,GB,-0.155
101682768,Peter Lederer: Next first minister must reset links with drinks trade,2023-03-08 06:00:00,gb,0.029
91001968,Wyndford flats: New report says no evidence to support keeping them,2023-01-27 06:11:00,GB,-0.077
72400270,Top award for Derry construction firm,2022-11-24 14:38:28,GB,0.603
85099914,Government pressing ahead with &amp;lsquo;minimum safety levels&amp;rsquo; legislation,2023-01-05 16:31:18,GB,0.174
78189572,"UK still heading for recession despite October bounce back, warn experts",2022-12-12 12:38:00,GB,-0.16
68808960,Jeremy Hunt slaps down nurses' plea for pay rise as Tories brand it 'unreasonable,2022-11-13 12:08:14,GB,-0.34
92470188,Labour would protect Scottish shipbuilding jobs – shadow defence minister,2023-02-01 20:27:45,GB,-0.158
90748520,Farmers told potatoes underpin ‘£4.5bn industry’,2023-01-26 07:59:38,GB,-0.015
85657018,Rishi Sunak holds emergency talks in bid to ease winter NHS crisis,2023-01-07 15:00:21,GB,-0.03
85338390,Darlington Jobs Fair returns to Dolphin Centre with 70 employers,2023-01-06 10:00:00,GB,0.306
69118306,Agriculture Bill Consultation – Orkney,2022-11-14 09:03:18,GB,0.318
93673296,BGF £2m funding for Scottish software firm STC INSISO,2023-02-06 07:13:46,GB,0.098
93705386,Adani woes spur protests as stock turmoil turns political,2023-02-06 10:36:48,GB,-0.454
98582606,Council told &#8216;Dundee is dying&#8217; as raft of cuts agreed and council tax rises by 4.75%,2023-02-23 22:56:43,GB,0.296
101327482,Contractors struggle to fill order books as economic headwinds hammer construction sector,2023-03-06 11:41:52,gb,-0.045
102008300,UK's 'wonkiest pub' with optical illusion for sale as locals fear it could close forever,2023-03-09 18:01:31,gb,-0.186
104903492,Lebanon to construct new terminal at Beirut airport,2023-03-20 16:12:58,gb,-0.021
103439702,Budget 2023: what should Jeremy Hunt do? How to fix London’s ‘toxic’ housing market,2023-03-15 07:17:31,gb,-0.265
96857454,Sturgeon’s exit is an opportunity to rethink the Deposit Return Scheme | Scottish Licensed Trade News,2023-02-17 13:48:25,GB,0.049
100113116,Canada Water: first homes for sale in new £5.6bn London neighbourhood,2023-03-01 09:00:28,GB,-0.061
85359626,Aberdeen&#8217;s Bon Accord Centre to be sold for less than £10 million,2023-01-06 11:30:58,GB,0.008
92351550,"Rail walkout is ‘a political strike driven by the government,’ claims train driver union boss",2023-02-01 10:43:58,GB,-0.353
75563034,"The Tories know the game is up, even if the City of London doesn’t",2022-12-03 18:00:49,GB,-0.181
100097270,Global trends and events close to home will shape Scottish M&amp;A in 2023,2023-03-01 12:45:49,GB,-0.029
78154146,UK economy grew in October but Jeremy Hunt warns of “tough road ahead”,2022-12-12 09:40:15,GB,-0.026
76416560,Owner expresses sadness and cites closure due to inflationary cost pressures,2022-12-06 21:15:22,GB,-0.527
88639756,‘People find it reassuring that the Tories care only about power’: Tony Blair on how Labour can win,2023-01-18 14:02:07,GB,-0.038
74625124,Bulb takeover saga sheds light on ‘disgraceful’ lack of transparency,2022-11-30 20:04:04,GB,-0.582
97132638,EXECUTIVE: Historic sector is at heart of change,2023-02-18 14:00:00,GB,0.441
65243532,Cohousing is empowering people to fight back against a global housing crisis,2022-11-02 18:22:38,GB,0.255
67981982,Sturgeon sets out hopes for ‘good relationship’ with new Prime Minister Sunak,2022-11-10 21:45:01,GB,0.045
107876852,"Economy grew slightly to avoid recession, says revised official data",2023-03-31 08:38:37,gb,-0.477
92027922,Get in line for a chance to shine-s1jobs recruitment awards,2023-01-31 06:37:46,GB,0.427
105367890,Bafta TV nominations: BBC shows This Is Going to Hurt and The Responder lead with six nods each,2023-03-22 10:41:48,gb,0.645
88393726,What the collapse of a company you’ve never heard of says about Britain,2023-01-17 17:03:53,GB,0.072
107874956,"Economy grew slightly to avoid recession, says revised official data",2023-03-31 08:23:48,gb,-0.51
86440434,Somerville: No stone will be left unturned in bid to resolve school strikes,2023-01-10 16:41:57,GB,-0.253
92107310,Why the Port of Cromarty Firth is a catalyst for change,2023-01-31 13:01:11,GB,0.049
66124852,Fearn Airfield: Acorn Bioenergy lodges plans for £25m biogas plant,2022-11-05 07:54:57,GB,-0.074
101108130,'Toxic femininity' is helping drive the diversity industry's anti-men stranglehold,2023-03-05 06:13:29,gb,0.154
89184236,AAB Group launches AAB People with re-brand of Purpose HR,2023-01-20 12:45:28,GB,0.499
85115722,Merit wants 4000m² factory expansion at its Cramlington HQ,2023-01-05 17:51:20,GB,0.161
80519802,66th Evening Standard Theatre Awards Special Award winners Vanessa Redgrave and Nica Burns on theatre’s future,2022-12-20 14:01:00,GB,0.236
92244218,Anti-strike bill is not only attack on fundamental right - but assault on working people,2023-02-01 01:04:45,GB,-0.254
97332498,Nurses’ pay squeeze and Tory tax cut ambitions: can they perhaps be related?,2023-02-19 08:00:01,GB,-0.122
101571188,Nicola Sturgeon opens new training college in Glasgow,2023-03-07 16:34:28,gb,0.388
91816806,Freeport frustration runs deep with all quiet on the western front,2023-01-30 11:28:28,GB,0.064
104855776,"UK steel industry in crisis after lack of support in budget, union warns PM",2023-03-19 16:31:03,gb,0.05
85982666,Union leaders to meet rail minister in bid to secure deal to end strikes,2023-01-09 01:01:00,GB,-0.084
71382764,Portadown firm plans will catapult the company into a new era of development and innovation,2022-11-21 11:42:10,GB,0.198
92947594,Failure to draw up national computer chip strategy is ‘act of self-harm’,2023-02-03 07:00:00,GB,0.017
92436652,‘Vast majority’ of schools in England and Wales affected by teachers’ strike,2023-02-01 17:35:56,GB,-0.226
91556908,Year 9 maths exam: Can YOU pass this maths exam for a 14-year-old?,2023-01-29 10:45:08,GB,0.096
74774910,Is now the right time for your business to buy real estate?,2022-12-01 16:07:40,GB,-0.19
100028736,"Liz Cameron: Yes (first) minister, it is time for a &#8216;reset&#8217;",2023-03-01 07:00:20,GB,0.082
68450642,Ugly duckling to swan: B-listed Inverness building restored to glory,2022-11-12 07:00:45,GB,0.3
66858182,"Almac also aims to reduce the group’s Scope one and Scope two emissions by 50%, by 2030",2022-11-07 14:24:13,GB,0.105
69480022,NI construction firms take part in CITB NI Forum,2022-11-15 13:22:14,GB,0.878
79654726,"What Trump promised, Biden seeks to deliver in his own way",2022-12-17 06:31:58,GB,0.317
88869942,Offshore wind farm construction is noisy – but gadgets used to protect marine mammals are working,2023-01-19 07:11:41,GB,0.272
104312218,New programme highlights the legacy &#8211; or lack of one &#8211; from oil and gas industry in Aberdeen,2023-03-18 07:00:47,gb,0.108
105934014,"Skills Support for the Workforce Programme helps 6,000 employees",2023-03-24 10:26:00,gb,0.332
67511278,ATS expands with hiring of Operations Manager Matthew Smith,2022-11-09 14:11:19,GB,-0.032
82276658,"Cost-of-living crisis to push more retailers to brink in 2023, warn experts",2022-12-27 10:18:06,GB,0.008
83928684,‘On the brink’: ambulance services in England face £14m rise in fuel bills,2023-01-01 09:00:42,GB,-0.114
