,title,publish_date,source_country,sentiment,cleaned_text,sentiment_label,word_length,char_length,month
0,Biogas firm to hold consultation on £50 million anaerobic digestion plants in Moray creating 30 jobs,2022-11-28 14:19:32,GB,0.087,biogas firm hold consultation 50 million anaerobic digestion plants moray creating 30 jobs,positive,16,100,November 2022
1,Scots Biotechnology network’s investment hits £25 million,2023-02-06 15:54:43,GB,0.251,scots biotechnology network investment hits 25 million,positive,7,57,February 2023
2,Council chases owners of thousands of empty homes in Glasgow,2022-11-17 09:36:50,GB,-0.111,council chases owners thousands empty homes glasgow,negative,10,60,November 2022
3,The west’s ‘dash for gas’ in Africa is nothing more than energy colonialism,2022-11-13 07:00:04,GB,-0.018,west dash gas africa nothing energy colonialism,negative,13,75,November 2022
4,"Mr Heaton-Harris was interested in how MJM Marine, Mivan and Topglass have recovered from the pandemic",2022-11-17 14:26:52,GB,0.275,mr heaton-harris interested mjm marine mivan topglass recovered pandemic,positive,16,102,November 2022
5,Fury over China &amp; UAE multi-million offshore wind profits in Scotland,2023-01-22 07:54:00,GB,-0.527,fury china amp uae multi-million offshore wind profits scotland,negative,11,73,January 2023
6,Sales up in all sectors for industry supplier,2022-11-15 08:00:00,GB,0.007,sales sectors industry supplier,positive,8,45,November 2022
7,Council ‘apologises unreservedly for ways in which it failed Grenfell residents’,2022-11-09 16:36:29,GB,-0.396,council apologises unreservedly ways failed grenfell residents,negative,11,80,November 2022
8,Growing demand for data from space will fuel north rocket launches,2022-12-30 12:45:23,GB,0.241,growing demand data space fuel north rocket launches,positive,11,66,December 2022
9,"‘It’s not medical tourism, it’s desperation’: rising number of Britons resort to treatment abroad",2023-01-21 20:00:56,GB,-0.634,medical tourism desperation rising number britons resort treatment abroad,negative,14,97,January 2023
10,Jobs boost as Montrose facility targeting green energy sector opens for business,2022-11-30 13:08:36,GB,0.509,jobs boost montrose facility targeting green energy sector opens business,positive,12,80,November 2022
11,Offshore wind trio back Highland renewables skills hub ,2023-03-02 18:11:42,gb,0.127,offshore wind trio back highland renewables skills hub,positive,8,55,March 2023
12,Gary Lineker spoke his mind. Now we should too: fate could have put any one of us in those migrant boats,2023-03-10 18:16:04,gb,-0.367,gary lineker spoke mind fate could put one us migrant boats,negative,21,104,March 2023
13,Northern Ireland facing continued recession in 2023,2023-01-05 14:09:17,GB,-0.008,northern ireland facing continued recession 2023,negative,7,51,January 2023
14,"‘Wild West’ social media bosses must face jail for harmful content, says rebel Tory MP",2023-01-13 11:18:55,GB,-0.294,wild west social media bosses must face jail harmful content says rebel tory mp,negative,15,86,January 2023
15,Exxon scientists accurately forecast climate change back in the 1970s – what if we had listened to them and acted then?,2023-01-27 17:52:16,GB,-0.242,exxon scientists accurately forecast climate change back 1970s listened acted,negative,21,119,January 2023
16,2000-tonne 'monopiles' set to arrive in Highland town after major deal struck,2023-01-25 13:31:00,GB,0.176,2000-tonne monopiles set arrive highland town major deal struck,positive,12,77,January 2023
17,New TUC boss calls for urgent meeting with Prime Minister,2023-01-03 23:30:00,GB,-0.183,new tuc boss calls urgent meeting prime minister,negative,10,57,January 2023
18,Dons chairman says councillors are &#8216;missing the point&#8217; as SNP divided over &#8216;cost of inaction&#8217; on new stadium,2022-11-17 18:00:09,GB,-0.485,dons chairman says councillors 8216 missing point 8217 snp divided 8216 cost inaction 8217 new stadium,negative,18,132,November 2022
19,Syria to close govt agencies for 2 days amid fuel crisis,2022-12-06 17:19:40,GB,-0.011,syria close govt agencies 2 days amid fuel crisis,negative,11,56,December 2022
20,Teaching union announces 22 more days of strike action in Scotland,2023-01-13 20:53:05,GB,-0.013,teaching union announces 22 days strike action scotland,negative,11,66,January 2023
21,Scotland rent cap: Landlords in legal challenge over freeze,2023-01-20 16:07:11,GB,-0.528,scotland rent cap landlords legal challenge freeze,negative,9,59,January 2023
22,Cost increases and uncertainty weighing heavily on NI construction workloads,2022-11-07 13:10:42,GB,0.005,cost increases uncertainty weighing heavily ni construction workloads,positive,10,76,November 2022
23,Nurses’ union leader accuses Steve Barclay of ‘bullyboy’ tactics,2022-12-09 19:22:54,GB,-0.229,nurses union leader accuses steve barclay bullyboy tactics,negative,9,64,December 2022
24,David Parfitt takes over as chairman of North East  Screen,2023-03-02 11:53:50,GB,0.354,david parfitt takes chairman north east screen,positive,10,58,March 2023
25,Skills training will future-proof young Londoners,2023-03-22 12:26:19,gb,0.298,skills training future-proof young londoners,positive,6,49,March 2023
26,Kate Forbes vows to scrap SNP government&#8217;s proposals for fishing bans,2023-03-23 01:01:00,gb,-0.035,kate forbes vows scrap snp government 8217 proposals fishing bans,negative,11,75,March 2023
27,Man could be living on the Moon by end of decade – Nasa official,2022-11-20 12:15:19,GB,0.211,man could living moon end decade nasa official,positive,14,64,November 2022
28,"Average Wall Street bonuses plummeted in 2022 to $176,700",2023-03-30 17:29:08,gb,-0.222,average wall street bonuses plummeted 2022 176 700,negative,9,57,March 2023
29,"Civil servants, bus and rail staff, lecturers and teachers strike",2023-02-02 01:01:00,GB,-0.409,civil servants bus rail staff lecturers teachers strike,negative,10,65,February 2023
30,How Sunak hopes the ‘Windsor Framework’ will end Brexit divides,2023-02-28 12:08:31,GB,-0.002,sunak hopes windsor framework end brexit divides,negative,10,63,February 2023
31,Sandy Begbie: Growth in a Time of Crisis,2022-12-14 11:10:35,GB,0.265,sandy begbie growth time crisis,positive,8,40,December 2022
32,"Construction activity continues to pick up, but outlook remains grim",2022-11-04 12:21:54,GB,-0.377,construction activity continues pick outlook remains grim,negative,10,68,November 2022
33,"Exclusive: Birthday boy Roy MacGregor on new opportunities, green freeports and Global Energy Group&#8217;s latest results",2022-12-29 07:00:00,GB,0.213,exclusive birthday boy roy macgregor new opportunities green freeports global energy group 8217 latest results,positive,16,122,December 2022
34,Conservation fund will build future for historic Argyll property,2022-12-09 14:04:26,GB,0.267,conservation fund build future historic argyll property,positive,9,64,December 2022
35,Israel's Netanyahu says he has formed new government,2022-12-21 23:46:32,GB,0.048,israel netanyahu says formed new government,positive,8,52,December 2022
36,Historic ceremony sees leading institutions reaffirm their loyalty to King,2023-03-09 16:21:05,gb,0.222,historic ceremony sees leading institutions reaffirm loyalty king,positive,10,74,March 2023
37,The Leader podcast: London gripped by decade’s biggest strikes,2023-02-01 18:04:51,GB,0.337,leader podcast london gripped decade biggest strikes,positive,9,62,February 2023
38,Virgin Atlantic boss withdraws support for Heathrow third runway and slams airport’s ‘monopoly position’,2022-11-21 15:39:18,GB,-0.191,virgin atlantic boss withdraws support heathrow third runway slams airport monopoly position,negative,14,104,November 2022
39,Lula and the world: what to expect from the new Brazilian foreign policy,2023-03-31 16:56:58,gb,0.352,lula world expect new brazilian foreign policy,positive,13,72,March 2023
40,Highland businesses fear proposals for new limits on alcohol adverts,2023-02-13 18:00:00,GB,-0.026,highland businesses fear proposals new limits alcohol adverts,negative,10,68,February 2023
41,"Covid support measures 'saved 40,000 jobs'",2023-01-31 07:11:47,GB,-0.265,covid support measures saved 40 000 jobs,negative,6,42,January 2023
42,Find your dream team at Lisburn and Castlereagh City Council's upcoming job fair,2022-11-01 13:31:48,GB,0.668,find dream team lisburn castlereagh city council upcoming job fair,positive,13,80,November 2022
43,Struan Stevenson: It&#8217;s time to realise the worth of Scotland&#8217;s seaweed gold mine,2023-01-24 07:00:08,GB,0.021,struan stevenson 8217 time realise worth scotland 8217 seaweed gold mine,positive,13,92,January 2023
44,"GALLERY: Glashieburn School &#8211; big stage shows, litter picking and a TV appearance",2022-11-27 07:00:25,GB,0.335,gallery glashieburn school 8211 big stage shows litter picking tv appearance,positive,13,87,November 2022
45,Gove invites Kingspan for talks on post-Grenfell remediation package,2023-03-28 16:26:41,gb,-0.48,gove invites kingspan talks post-grenfell remediation package,negative,9,68,March 2023
46,Kevin McKenna: What really goes on behind scenes of SNP hustings?,2023-03-09 18:57:04,gb,0.119,kevin mckenna really goes behind scenes snp hustings,positive,11,65,March 2023
47,Looking for an apprenticeship? Here are 4 great opportunities!,2023-02-28 17:27:09,GB,0.657,looking apprenticeship 4 great opportunities,positive,9,62,February 2023
48,Business insolvencies jump by 57% to 13-year high,2023-01-31 16:13:03,GB,-0.108,business insolvencies jump 57 13-year high,negative,8,49,January 2023
49,Rival swoops to acquire historic Dundee property firm,2022-11-02 13:37:13,GB,0.383,rival swoops acquire historic dundee property firm,positive,8,53,November 2022
50,Can humanity's new giant leap into space succeed?,2023-01-16 03:56:05,GB,-0.422,humanity new giant leap space succeed,negative,8,49,January 2023
51,Construction and car sales drive UK business recovery,2023-03-07 07:10:30,gb,-0.064,construction car sales drive uk business recovery,negative,8,53,March 2023
52,"Ireland’s productivity 40% higher than Northern Ireland’s, says think tank",2022-11-28 01:01:00,GB,-0.155,ireland productivity 40 higher northern ireland says think tank,negative,10,74,November 2022
53,Peter Lederer: Next first minister must reset links with drinks trade,2023-03-08 06:00:00,gb,0.029,peter lederer next first minister must reset links drinks trade,positive,11,69,March 2023
54,Wyndford flats: New report says no evidence to support keeping them,2023-01-27 06:11:00,GB,-0.077,wyndford flats new report says evidence support keeping,negative,11,67,January 2023
55,Top award for Derry construction firm,2022-11-24 14:38:28,GB,0.603,top award derry construction firm,positive,6,37,November 2022
56,Government pressing ahead with &amp;lsquo;minimum safety levels&amp;rsquo; legislation,2023-01-05 16:31:18,GB,0.174,government pressing ahead amp lsquo minimum safety levels amp rsquo legislation,positive,8,86,January 2023
57,"UK still heading for recession despite October bounce back, warn experts",2022-12-12 12:38:00,GB,-0.16,uk still heading recession despite october bounce back warn experts,negative,11,72,December 2022
58,Jeremy Hunt slaps down nurses' plea for pay rise as Tories brand it 'unreasonable,2022-11-13 12:08:14,GB,-0.34,jeremy hunt slaps nurses plea pay rise tories brand unreasonable,negative,14,81,November 2022
59,Labour would protect Scottish shipbuilding jobs – shadow defence minister,2023-02-01 20:27:45,GB,-0.158,labour would protect scottish shipbuilding jobs shadow defence minister,negative,10,73,February 2023
60,Farmers told potatoes underpin ‘£4.5bn industry’,2023-01-26 07:59:38,GB,-0.015,farmers told potatoes underpin 4.5bn industry,negative,6,48,January 2023
61,Rishi Sunak holds emergency talks in bid to ease winter NHS crisis,2023-01-07 15:00:21,GB,-0.03,rishi sunak holds emergency talks bid ease winter nhs crisis,negative,12,66,January 2023
62,Darlington Jobs Fair returns to Dolphin Centre with 70 employers,2023-01-06 10:00:00,GB,0.306,darlington jobs fair returns dolphin centre 70 employers,positive,10,64,January 2023
63,Agriculture Bill Consultation – Orkney,2022-11-14 09:03:18,GB,0.318,agriculture bill consultation orkney,positive,5,38,November 2022
64,BGF £2m funding for Scottish software firm STC INSISO,2023-02-06 07:13:46,GB,0.098,bgf 2m funding scottish software firm stc insiso,positive,9,53,February 2023
65,Adani woes spur protests as stock turmoil turns political,2023-02-06 10:36:48,GB,-0.454,adani woes spur protests stock turmoil turns political,negative,9,57,February 2023
66,Council told &#8216;Dundee is dying&#8217; as raft of cuts agreed and council tax rises by 4.75%,2023-02-23 22:56:43,GB,0.296,council told 8216 dundee dying 8217 raft cuts agreed council tax rises 4.75,positive,16,96,February 2023
67,Contractors struggle to fill order books as economic headwinds hammer construction sector,2023-03-06 11:41:52,gb,-0.045,contractors struggle fill order books economic headwinds hammer construction sector,negative,12,89,March 2023
68,UK's 'wonkiest pub' with optical illusion for sale as locals fear it could close forever,2023-03-09 18:01:31,gb,-0.186,uk wonkiest pub optical illusion sale locals fear could close forever,negative,15,88,March 2023
69,Lebanon to construct new terminal at Beirut airport,2023-03-20 16:12:58,gb,-0.021,lebanon construct new terminal beirut airport,negative,8,51,March 2023
70,Budget 2023: what should Jeremy Hunt do? How to fix London’s ‘toxic’ housing market,2023-03-15 07:17:31,gb,-0.265,budget 2023 jeremy hunt fix london toxic housing market,negative,14,83,March 2023
71,Sturgeon’s exit is an opportunity to rethink the Deposit Return Scheme | Scottish Licensed Trade News,2023-02-17 13:48:25,GB,0.049,sturgeon exit opportunity rethink deposit return scheme scottish licensed trade news,positive,16,101,February 2023
72,Canada Water: first homes for sale in new £5.6bn London neighbourhood,2023-03-01 09:00:28,GB,-0.061,canada water first homes sale new 5.6bn london neighbourhood,negative,11,69,March 2023
73,Aberdeen&#8217;s Bon Accord Centre to be sold for less than £10 million,2023-01-06 11:30:58,GB,0.008,aberdeen 8217 bon accord centre sold less 10 million,positive,12,71,January 2023
74,"Rail walkout is ‘a political strike driven by the government,’ claims train driver union boss",2023-02-01 10:43:58,GB,-0.353,rail walkout political strike driven government claims train driver union boss,negative,15,93,February 2023
75,"The Tories know the game is up, even if the City of London doesn’t",2022-12-03 18:00:49,GB,-0.181,tories know game even city london,negative,14,66,December 2022
76,Global trends and events close to home will shape Scottish M&amp;A in 2023,2023-03-01 12:45:49,GB,-0.029,global trends events close home shape scottish amp 2023,negative,13,74,March 2023
77,UK economy grew in October but Jeremy Hunt warns of “tough road ahead”,2022-12-12 09:40:15,GB,-0.026,uk economy grew october jeremy hunt warns tough road ahead,negative,13,70,December 2022
78,Owner expresses sadness and cites closure due to inflationary cost pressures,2022-12-06 21:15:22,GB,-0.527,owner expresses sadness cites closure due inflationary cost pressures,negative,11,76,December 2022
79,‘People find it reassuring that the Tories care only about power’: Tony Blair on how Labour can win,2023-01-18 14:02:07,GB,-0.038,people find reassuring tories care power tony blair labour win,negative,18,99,January 2023
80,Bulb takeover saga sheds light on ‘disgraceful’ lack of transparency,2022-11-30 20:04:04,GB,-0.582,bulb takeover saga sheds light disgraceful lack transparency,negative,10,68,November 2022
81,EXECUTIVE: Historic sector is at heart of change,2023-02-18 14:00:00,GB,0.441,executive historic sector heart change,positive,8,48,February 2023
82,Cohousing is empowering people to fight back against a global housing crisis,2022-11-02 18:22:38,GB,0.255,cohousing empowering people fight back global housing crisis,positive,12,76,November 2022
83,Sturgeon sets out hopes for ‘good relationship’ with new Prime Minister Sunak,2022-11-10 21:45:01,GB,0.045,sturgeon sets hopes good relationship new prime minister sunak,positive,12,77,November 2022
84,"Economy grew slightly to avoid recession, says revised official data",2023-03-31 08:38:37,gb,-0.477,economy grew slightly avoid recession says revised official data,negative,10,68,March 2023
85,Get in line for a chance to shine-s1jobs recruitment awards,2023-01-31 06:37:46,GB,0.427,get line chance shine-s1jobs recruitment awards,positive,10,59,January 2023
86,Bafta TV nominations: BBC shows This Is Going to Hurt and The Responder lead with six nods each,2023-03-22 10:41:48,gb,0.645,bafta tv nominations bbc shows going hurt responder lead six nods,positive,18,95,March 2023
87,What the collapse of a company you’ve never heard of says about Britain,2023-01-17 17:03:53,GB,0.072,collapse company never heard says britain,positive,13,71,January 2023
88,"Economy grew slightly to avoid recession, says revised official data",2023-03-31 08:23:48,gb,-0.51,economy grew slightly avoid recession says revised official data,negative,10,68,March 2023
89,Somerville: No stone will be left unturned in bid to resolve school strikes,2023-01-10 16:41:57,GB,-0.253,somerville stone left unturned bid resolve school strikes,negative,13,75,January 2023
90,Why the Port of Cromarty Firth is a catalyst for change,2023-01-31 13:01:11,GB,0.049,port cromarty firth catalyst change,positive,11,55,January 2023
91,Fearn Airfield: Acorn Bioenergy lodges plans for £25m biogas plant,2022-11-05 07:54:57,GB,-0.074,fearn airfield acorn bioenergy lodges plans 25m biogas plant,negative,10,66,November 2022
92,'Toxic femininity' is helping drive the diversity industry's anti-men stranglehold,2023-03-05 06:13:29,gb,0.154,toxic femininity helping drive diversity industry anti-men stranglehold,positive,10,82,March 2023
93,AAB Group launches AAB People with re-brand of Purpose HR,2023-01-20 12:45:28,GB,0.499,aab group launches aab people re-brand purpose hr,positive,10,57,January 2023
94,Merit wants 4000m² factory expansion at its Cramlington HQ,2023-01-05 17:51:20,GB,0.161,merit wants 4000m factory expansion cramlington hq,positive,9,58,January 2023
95,66th Evening Standard Theatre Awards Special Award winners Vanessa Redgrave and Nica Burns on theatre’s future,2022-12-20 14:01:00,GB,0.236,66th evening standard theatre awards special award winners vanessa redgrave nica burns theatre future,positive,16,110,December 2022
96,Anti-strike bill is not only attack on fundamental right - but assault on working people,2023-02-01 01:04:45,GB,-0.254,anti-strike bill attack fundamental right assault working people,negative,15,88,February 2023
97,Nurses’ pay squeeze and Tory tax cut ambitions: can they perhaps be related?,2023-02-19 08:00:01,GB,-0.122,nurses pay squeeze tory tax cut ambitions perhaps related,negative,13,76,February 2023
98,Nicola Sturgeon opens new training college in Glasgow,2023-03-07 16:34:28,gb,0.388,nicola sturgeon opens new training college glasgow,positive,8,53,March 2023
99,Freeport frustration runs deep with all quiet on the western front,2023-01-30 11:28:28,GB,0.064,freeport frustration runs deep quiet western front,positive,11,66,January 2023
